Player Name,Total Clubs Played For,Clubs Played For
Louis A. Roux,4,"Marseille, Bologna, Athletic Bilbao, Newcastle United"
Mateo G. Smit,2,"Valencia, Boca Juniors"
Ethan A. Schneider,2,"AS Roma, Atalanta"
Rafael Michel,2,"Everton, Brighton & Hove Albion"
Mason R. Martinez,1,Wolverhampton
Mateo K. Meyer,7,"LAFC, AS Roma, Marseille, Newcastle United, Bologna, Olympiacos, Borussia Mönchengladbach"
Luka N. Wagner,4,"Athletic Bilbao, Real Betis, São Paulo, Wolverhampton"
Rafael M. Michel,6,"Napoli, Al-Nassr, Manchester United, Nice, Fluminense, Eintracht Frankfurt"
Iker L. Torres,6,"Inter Milan, Bayern Munich, Corinthians, Benfica, RB Leipzig, Athletic Bilbao"
Amir N. Schneider,2,"Monaco, PSV Eindhoven"
David T. Simon,1,Olympiacos
Tariq Colombo,2,"Santos, LA Galaxy"
Mason N. Laurent,2,"Getafe, Celtic"
Tiago N. Hoffmann,3,"Feyenoord, Manchester City, LA Galaxy"
Tariq E. Alvarez,6,"VfL Wolfsburg, PSV Eindhoven, Fluminense, Borussia Dortmund, RB Leipzig, Wolverhampton"
Luka B. Bertrand,1,Benfica
Gabriel K. Bertrand,5,"Bayern Munich, Atalanta, Atletico Madrid, Besiktas, Fenerbahce"
Bruno M. Simon,6,"Juventus, SS Lazio, Lyon, Paris Saint-Germain, Manchester City, Bologna"
Lucas C. Gonzales,6,"Benfica, Atletico Madrid, AC Milan, Al-Hilal, Arsenal, Juventus"
Paul E. Sanchez,2,"Atletico Madrid, BRAGA"
Igor N. Martinez,7,"Sporting CP, Torino, Napoli, Flamengo, Borussia Mönchengladbach, Inter Miami, Chelsea"
Benjamin J. Moreno,7,"Athletic Bilbao, Monaco, Dynamo Kyiv, PSV Eindhoven, Arsenal, Al-Hilal, LAFC"
Nathan K. Meyer,5,"VfL Wolfsburg, Olympiacos, Juventus, Benfica, LAFC"
Oluwaseun E. Diaz,4,"River Plate, PSV Eindhoven, Real Sociedad, FC Porto"
Oluwaseun K. Ramirez,5,"Sevilla, Inter Miami, Palmeiras, Al-Nassr, Borussia Dortmund"
Bruno K. Ricci,1,VfL Wolfsburg
Tiago S. Alvarez,7,"Lille, Inter Milan, Ajax, Real Sociedad, Corinthians, Monaco, Juventus"
Marco G. Santos,4,"Atalanta, Shakhtar Donetsk, River Plate, PSV Eindhoven"
Oliver T. Garcia,1,Marseille
Sebastian D. Hoffmann,4,"Liverpool, AC Milan, Chelsea, Dynamo Kyiv"
Dominik M. Rossi,3,"Borussia Dortmund, Rennes, River Plate"
Giorgio C. Moreau,1,Shakhtar Donetsk
Liam S. Brown,7,"Chelsea, Olympiacos, Monaco, LAFC, Atlanta United, São Paulo, Rennes"
Stefan C. Simon,7,"Napoli, Wolverhampton, Galatasaray, AC Milan, São Paulo, Al-Ahli, BRAGA"
David N. Smit,7,"Al-Ahli, Manchester City, Al-Hilal, Monaco, Schalke 04, Lille, Corinthians"
Liam V. David,5,"Villarreal, Newcastle United, SS Lazio, Tottenham Hotspur, Manchester City"
Igor Silva,6,"Shakhtar Donetsk, Fenerbahce, Atletico Madrid, Monaco, Santos, Al-Hilal"
Frenkie N. Leroy,7,"Real Sociedad, Getafe, LAFC, Olympiacos, Valencia, Bayer Leverkusen, Sevilla"
Andrei F. Simon,1,Inter Miami
Nicolas T. Wilson,1,Flamengo
Diego M. Bruno,2,"Real Sociedad, BRAGA"
Louis P. Schneider,4,"Shakhtar Donetsk, Fluminense, São Paulo, Al-Ittihad"
Josko S. Schneider,1,Villarreal
Gabriel H. Rossi,7,"Monaco, Atalanta, Villarreal, Boca Juniors, Everton, AC Milan, Sporting CP"
Cody E. Diaz,6,"Fluminense, Valencia, Atletico Madrid, Real Madrid, Nice, BRAGA"
Thibaut P. Gonzales,7,"Real Betis, Olympiacos, Al-Ittihad, Wolverhampton, FC Porto, Lille, Villarreal"
Kacper M. Hoffmann,1,RB Leipzig
Benjamin E. Taylor,1,Inter Milan
Kacper D. Williams,2,"Sporting CP, River Plate"
Hugo A. Simon,4,"Monaco, Celtic, Tottenham Hotspur, PSV Eindhoven"
Miklós P. Dubois,1,Benfica
Iker C. Rojas,2,"FC Porto, LAFC"
Kevin N. Jansen,3,"Fiorentina, Brighton & Hove Albion, LAFC"
Diogo R. Laurent,4,"Atletico Madrid, Liverpool, Atalanta, Borussia Mönchengladbach"
Gabriel H. Moreno,2,"VfL Wolfsburg, Palmeiras"
David C. Meyer,5,"Shakhtar Donetsk, Grêmio, Juventus, Inter Miami, Boca Juniors"
Nicolas F. Schneider,4,"Boca Juniors, Real Betis, Juventus, Al-Ittihad"
Ethan N. Fernandez,4,"Santos, Olympiacos, Flamengo, Paris Saint-Germain"
Frenkie B. Ramirez,3,"Inter Miami, Atletico Madrid, Santos"
Dominik N. Gonzales,2,"Lille, Inter Milan"
Arthur T. Ramirez,7,"Paris Saint-Germain, Celtic, Al-Ittihad, River Plate, Grêmio, Athletic Bilbao, BRAGA"
Ciro D. Ricci,2,"AC Milan, Boca Juniors"
Nicolò H. De Jong,1,Barcelona
Maximilian L. Laurent,1,SS Lazio
David K. Visser,3,"River Plate, Rangers, Barcelona"
Axel P. Van Dijk,1,Santos
Jan C. Brown,2,"Everton, Newcastle United"
Filip N. Marino,3,"Atletico Madrid, Paris Saint-Germain, Monaco"
Mateo D. Evans,7,"West Ham United, Celtic, SS Lazio, Valencia, Nice, Atletico Madrid, Bologna"
Felix D. Bianchi,7,"Aston Villa, Olympiacos, Juventus, AC Milan, Fiorentina, Manchester United, Galatasaray"
Ciro N. Marino,6,"Lille, Al-Nassr, Napoli, São Paulo, Atalanta, Real Betis"
Lucas P. Martinez,4,"LAFC, Palmeiras, Real Sociedad, Inter Milan"
Kacper D. Fernandez,4,"PSV Eindhoven, Valencia, Napoli, Inter Milan"
Stefan N. Torres,7,"Rennes, Al-Hilal, Bayern Munich, Villarreal, Al-Ahli, Tottenham Hotspur, Sporting CP"
Miklós A. Garcia,4,"Monaco, Wolverhampton, Manchester City, Brighton & Hove Albion"
Kevin F. Esposito,5,"Sporting CP, Fluminense, Celtic, Inter Miami, Ajax"
Kofi A. Wilson,5,"Al-Nassr, Palmeiras, Wolverhampton, Napoli, Bayer Leverkusen"
Hugo C. Torres,6,"RB Leipzig, Paris Saint-Germain, Lyon, Shakhtar Donetsk, Valencia, Arsenal"
Kofi F. Fischer,3,"Dynamo Kyiv, Schalke 04, Wolverhampton"
Oliver K. Smith,4,"Manchester United, Villarreal, Atletico Madrid, Marseille"
Pedri S. Müller,5,"Olympiacos, Torino, Grêmio, Borussia Mönchengladbach, Everton"
Gianluigi L. Colombo,7,"Eintracht Frankfurt, West Ham United, Celtic, Rennes, Getafe, Besiktas, Paris Saint-Germain"
Iker Roux,1,Eintracht Frankfurt
Kevin K. Weber,1,Sporting CP
Youssef S. Bakker,2,"Galatasaray, Monaco"
Mateo H. Bianchi,3,"VfL Wolfsburg, Besiktas, Feyenoord"
Kacper H. Michel,1,Villarreal
Virgil L. Colombo,1,Atletico Madrid
Kofi S. Gomez,5,"Aston Villa, Boca Juniors, Juventus, Schalke 04, Atalanta"
Louis K. Smit,4,"Chelsea, Real Madrid, Real Betis, São Paulo"
Igor S. De Bruyne,1,PSV Eindhoven
Ciro A. Weber,5,"Monaco, Borussia Mönchengladbach, Olympiacos, AS Roma, Nice"
David L. Weber,3,"Villarreal, Athletic Bilbao, Real Sociedad"
Kwame P. Evans,7,"FC Porto, Barcelona, Manchester City, Boca Juniors, Atalanta, Bologna, Grêmio"
Paul Fischer,4,"Monaco, LA Galaxy, Athletic Bilbao, Ajax"
Sandro E. Garcia,3,"VfL Wolfsburg, Aston Villa, West Ham United"
Elias H. Bianchi,4,"Al-Ahli, Manchester United, Napoli, Boca Juniors"
Alessandro F. Marino,6,"Liverpool, Paris Saint-Germain, AS Roma, Valencia, Bayern Munich, Manchester City"
Santiago H. Smith,4,"Bologna, Al-Ittihad, Fluminense, Boca Juniors"
Dimitri N. Schulz,4,"Shakhtar Donetsk, Flamengo, Olympiacos, Marseille"
Kevin K. Marino,2,"RB Leipzig, São Paulo"
João R. Rojas,7,"Juventus, Paris Saint-Germain, Villarreal, Ajax, Athletic Bilbao, Grêmio, Monaco"
Adrian L. Marino,2,"Athletic Bilbao, Boca Juniors"
Tiago P. Perez,2,"Villarreal, Al-Hilal"
Bruno S. Sanchez,1,Newcastle United
Tiago G. Ramirez,4,"Benfica, Olympiacos, Atalanta, Manchester City"
Dimitri T. Smith,2,"Torino, Athletic Bilbao"
Jan D. Martinez,7,"Olympiacos, Athletic Bilbao, Inter Miami, Benfica, Newcastle United, Chelsea, Al-Nassr"
Kofi R. Ferrari,3,"Nice, Atlanta United, Real Sociedad"
Gabriel V. Marino,3,"Santos, Schalke 04, Celtic"
Giorgio P. Smit,1,Wolverhampton
Sandro M. Colombo,1,PSV Eindhoven
Virgil D. Smith,5,"Fluminense, Newcastle United, Shakhtar Donetsk, Feyenoord, Getafe"
Maximilian A. Roberts,7,"Real Betis, Corinthians, Celtic, Olympiacos, Napoli, Aston Villa, Shakhtar Donetsk"
Axel F. Davies,7,"Bayern Munich, Bologna, Al-Nassr, Tottenham Hotspur, Fluminense, Torino, Athletic Bilbao"
Gonçalo F. Roberts,1,Arsenal
Alexander D. Garcia,6,"São Paulo, Celtic, Athletic Bilbao, Bayer Leverkusen, Shakhtar Donetsk, Besiktas"
Julian M. Becker,5,"Celtic, Rangers, Chelsea, Sporting CP, Ajax"
Chidi P. Van Dijk,6,"Inter Miami, Manchester City, Brighton & Hove Albion, Arsenal, Bayer Leverkusen, Grêmio"
Xavi T. Rossi,3,"AC Milan, Atlanta United, Manchester United"
Felix M. Hoffmann,5,"Benfica, Real Betis, Shakhtar Donetsk, Real Sociedad, Flamengo"
Ivan P. Diaz,5,"Getafe, Bologna, Al-Nassr, River Plate, Liverpool"
Lorenzo D. Dubois,1,Borussia Mönchengladbach
Josko E. Alvarez,7,"Manchester City, FC Porto, Schalke 04, Eintracht Frankfurt, Palmeiras, Al-Nassr, Lille"
Benjamin F. Bertrand,7,"Lille, Inter Milan, Fluminense, Rennes, Eintracht Frankfurt, Real Sociedad, Villarreal"
Miklós K. Marino,3,"Brighton & Hove Albion, Nice, RB Leipzig"
Chidi V. Thomas,1,Nice
Paul R. Rossi,2,"Dynamo Kyiv, Athletic Bilbao"
Bruno D. Nieuwenhuis,7,"Ajax, Nice, Arsenal, Santos, West Ham United, Inter Milan, Barcelona"
Romelu F. Moreno,5,"PSV Eindhoven, Atlanta United, Everton, Galatasaray, Grêmio"
Virgil E. Silva,4,"Borussia Dortmund, Bayern Munich, Bologna, Fluminense"
Alessandro Hoffmann,5,"Arsenal, Atalanta, SS Lazio, AC Milan, Villarreal"
Tariq H. Silva,2,"Besiktas, Palmeiras"
Arthur E. Moreno,1,AS Roma
Tariq P. Bianchi,7,"Al-Ittihad, Al-Ahli, Shakhtar Donetsk, Palmeiras, RB Leipzig, LAFC, Fenerbahce"
Daniel V. Alvarez,2,"Manchester United, Aston Villa"
David H. Flores,1,River Plate
Memphis P. De Jong,5,"Napoli, Everton, Santos, AS Roma, River Plate"
Kenji H. Greco,4,"Bologna, Atlanta United, Al-Nassr, Fenerbahce"
Gavi B. Smit,1,Valencia
Memphis G. Ramirez,5,"Liverpool, Lyon, Benfica, SS Lazio, LA Galaxy"
Iker F. Moreno,7,"FC Porto, Dynamo Kyiv, Atletico Madrid, Olympiacos, Shakhtar Donetsk, Liverpool, Lille"
Iker K. Colombo,7,"Getafe, Feyenoord, Corinthians, Inter Milan, Sevilla, Olympiacos, Manchester City"
David G. Alvarez,4,"Everton, Sevilla, Galatasaray, AC Milan"
Maximilian B. Rojas,5,"Everton, Al-Hilal, Atletico Madrid, RB Leipzig, Fenerbahce"
Santiago G. Bruno,2,"BRAGA, Santos"
Andrei H. Garcia,3,"Getafe, Real Madrid, Rennes"
Elias D. Flores,6,"Bayer Leverkusen, Ajax, Al-Nassr, Rennes, Real Sociedad, Grêmio"
Marco T. Torres,4,"Nice, VfL Wolfsburg, Flamengo, RB Leipzig"
Ethan J. Visser,6,"Lyon, Besiktas, Inter Miami, Grêmio, Paris Saint-Germain, Monaco"
Mateo B. Smith,3,"AC Milan, Brighton & Hove Albion, Flamengo"
Pedri S. Schneider,6,"Bayern Munich, AC Milan, Brighton & Hove Albion, Everton, Olympiacos, Eintracht Frankfurt"
Gianluigi A. De Jong,3,"Fiorentina, Borussia Dortmund, Real Madrid"
Sandro H. De Bruyne,3,"Galatasaray, Lyon, Palmeiras"
Kwame F. Van Dijk,7,"Palmeiras, Dynamo Kyiv, Bologna, Ajax, LAFC, Al-Ittihad, Fluminense"
Felix S. Williams,4,"Rangers, São Paulo, Besiktas, Al-Hilal"
Jan R. Gomez,4,"Ajax, Olympiacos, Palmeiras, Besiktas"
Daniel K. Brown,3,"Eintracht Frankfurt, Celtic, Atalanta"
Noah N. Romano,3,"Lyon, Arsenal, Santos"
Carlos F. Rossi,4,"River Plate, Rangers, Paris Saint-Germain, Rennes"
Marco M. Becker,4,"Valencia, River Plate, Manchester City, Real Sociedad"
Gavi R. Nieuwenhuis,7,"Torino, BRAGA, Nice, Eintracht Frankfurt, Newcastle United, Atletico Madrid, Paris Saint-Germain"
Jonas G. Bianchi,6,"Arsenal, Schalke 04, Al-Nassr, Al-Hilal, AS Roma, Everton"
Frenkie R. De Jong,7,"Monaco, Rennes, SS Lazio, Real Madrid, Bayer Leverkusen, Besiktas, Ajax"
Kacper G. Becker,1,Newcastle United
Rafael R. Meyer,2,"West Ham United, Flamengo"
Thibaut V. Esposito,4,"Paris Saint-Germain, Feyenoord, Inter Milan, Fluminense"
Kevin H. Fernandez,2,"Sporting CP, PSV Eindhoven"
Marco F. Roberts,7,"Manchester City, AS Roma, Lille, Dynamo Kyiv, Villarreal, Everton, SS Lazio"
Liam T. Diaz,3,"Fenerbahce, Newcastle United, LAFC"
Gonçalo B. De Bruyne,5,"Corinthians, Bologna, River Plate, LA Galaxy, SS Lazio"
Filip V. Davies,7,"Valencia, Brighton & Hove Albion, Fluminense, Flamengo, Villarreal, Schalke 04, Bologna"
Igor K. Gonzales,6,"West Ham United, RB Leipzig, Al-Ahli, Liverpool, Sevilla, Manchester United"
Louis De Bruyne,5,"Bayer Leverkusen, Lyon, Ajax, Galatasaray, Tottenham Hotspur"
Julian M. Martinez,7,"Rennes, Nice, Ajax, Everton, West Ham United, Inter Miami, Al-Nassr"
Youssef L. Rossi,2,"Napoli, Bologna"
Lucas S. Leroy,7,"AC Milan, Lille, Fenerbahce, Inter Milan, Al-Hilal, Wolverhampton, Celtic"
Marco R. Schneider,6,"River Plate, Lyon, Al-Nassr, LA Galaxy, Chelsea, LAFC"
Cody E. Gomez,4,"AC Milan, Fluminense, Celtic, Bayern Munich"
Bernardo A. Rojas,1,Olympiacos
Ethan B. Rossi,1,Sporting CP
Luka G. Greco,7,"Al-Hilal, Ajax, Real Sociedad, Atalanta, Shakhtar Donetsk, River Plate, Brighton & Hove Albion"
Lorenzo P. Sanchez,4,"Arsenal, Al-Hilal, Real Madrid, São Paulo"
Liam P. Dubois,7,"SS Lazio, Brighton & Hove Albion, Lyon, Real Betis, Rennes, Atlanta United, Everton"
Felix N. Roberts,7,"FC Porto, VfL Wolfsburg, Fenerbahce, Manchester United, Galatasaray, West Ham United, Everton"
Miklós V. Diaz,4,"Chelsea, Sevilla, Marseille, Barcelona"
Nathan P. Roberts,7,"Brighton & Hove Albion, Sevilla, West Ham United, Santos, Inter Miami, Manchester City, Flamengo"
Adrian B. Perez,7,"Ajax, BRAGA, Al-Nassr, Newcastle United, Fenerbahce, Valencia, PSV Eindhoven"
Elias P. Fischer,5,"Bayer Leverkusen, Eintracht Frankfurt, AS Roma, FC Porto, Corinthians"
Julian J. Greco,7,"Dynamo Kyiv, Aston Villa, São Paulo, Marseille, Monaco, Athletic Bilbao, Brighton & Hove Albion"
Arthur E. Torres,4,"West Ham United, Monaco, Galatasaray, Rangers"
Noah J. Lefebvre,6,"Fiorentina, Al-Nassr, Getafe, Borussia Dortmund, Celtic, Manchester United"
Carlos J. Ferrari,4,"RB Leipzig, Schalke 04, Atlanta United, Palmeiras"
Josko A. Laurent,7,"Atletico Madrid, Getafe, Fenerbahce, Atlanta United, Paris Saint-Germain, Rennes, Lyon"
Xavi S. De Bruyne,4,"Valencia, Fiorentina, Al-Hilal, Torino"
Paul P. Schmidt,6,"Everton, Borussia Mönchengladbach, Rennes, Eintracht Frankfurt, Feyenoord, Al-Ahli"
Marco M. Meyer,7,"Real Betis, Real Sociedad, Lille, Schalke 04, Dynamo Kyiv, Shakhtar Donetsk, Celtic"
Liam E. Silva,7,"Borussia Mönchengladbach, Boca Juniors, Bayern Munich, Real Betis, Inter Milan, RB Leipzig, Newcastle United"
Felix L. Silva,2,"Manchester United, Rangers"
Igor H. Brown,2,"Real Madrid, Flamengo"
Dimitri S. Lefebvre,4,"Fiorentina, Inter Miami, Barcelona, Besiktas"
Andrei G. Gomez,4,"Fiorentina, Benfica, Lyon, Santos"
Nicolò E. Alvarez,4,"Besiktas, Borussia Dortmund, Eintracht Frankfurt, Lille"
João F. Hernandez,5,"Flamengo, Dynamo Kyiv, Schalke 04, Borussia Dortmund, Bayern Munich"
David A. Dubois,4,"Marseille, Liverpool, Paris Saint-Germain, Eintracht Frankfurt"
Chidi R. Smith,2,"RB Leipzig, Bayern Munich"
Youssef C. Santos,7,"Inter Milan, Olympiacos, Real Sociedad, Palmeiras, Eintracht Frankfurt, Corinthians, Juventus"
Samuel E. Lopez,1,AS Roma
Kenji R. Wilson,6,"VfL Wolfsburg, Lille, West Ham United, Inter Miami, SS Lazio, Chelsea"
Thibaut F. Van Dijk,4,"River Plate, Rangers, Monaco, Inter Milan"
Diogo R. Roberts,1,Lille
David F. Esposito,6,"Real Madrid, Fiorentina, Everton, Al-Ahli, VfL Wolfsburg, Real Sociedad"
Maximilian K. Dubois,6,"Schalke 04, Fenerbahce, Brighton & Hove Albion, Newcastle United, RB Leipzig, Sevilla"
Xavi S. Santos,2,"River Plate, Newcastle United"
Maximilian H. Vasquez,3,"Newcastle United, Bologna, Aston Villa"
Liam C. Lefebvre,5,"Feyenoord, Valencia, Bologna, Nice, LAFC"
Diego L. Torres,7,"Chelsea, Manchester United, Atlanta United, Tottenham Hotspur, Besiktas, Juventus, Eintracht Frankfurt"
Julian G. Roberts,5,"Chelsea, Liverpool, Lille, Rangers, West Ham United"
Kofi V. Hernandez,6,"Atalanta, Grêmio, Bayer Leverkusen, LAFC, AS Roma, Palmeiras"
Tariq H. Fernandez,3,"Bayer Leverkusen, Torino, Borussia Dortmund"
Ethan T. Davies,4,"Bayer Leverkusen, West Ham United, Villarreal, Al-Ittihad"
Samuel V. Williams,1,Al-Hilal
Kwan K. Diaz,2,"Flamengo, Feyenoord"
Sven A. Schneider,2,"Al-Nassr, Napoli"
Gonçalo C. Weber,4,"Schalke 04, Corinthians, Valencia, PSV Eindhoven"
Dimitri P. Nieuwenhuis,7,"Napoli, Nice, Bologna, AS Roma, Getafe, Galatasaray, Monaco"
Amir P. Ricci,6,"Rangers, Barcelona, Fluminense, Celtic, Brighton & Hove Albion, Eintracht Frankfurt"
Gonçalo R. Müller,3,"Lille, Atletico Madrid, Olympiacos"
Frenkie J. Roberts,3,"PSV Eindhoven, Paris Saint-Germain, Al-Ahli"
Arthur Laurent,2,"Bayern Munich, Benfica"
Alexander D. Müller,6,"Borussia Mönchengladbach, Napoli, Al-Nassr, VfL Wolfsburg, Lille, Feyenoord"
Kwan P. Rojas,5,"Al-Ittihad, Arsenal, Olympiacos, Bayern Munich, Fenerbahce"
Carlos S. Roux,6,"Napoli, LA Galaxy, Arsenal, VfL Wolfsburg, Paris Saint-Germain, São Paulo"
Mateo R. Ramirez,3,"Eintracht Frankfurt, Palmeiras, Bologna"
Diego P. Ramirez,5,"Feyenoord, BRAGA, Inter Milan, Juventus, Besiktas"
Felix Ferrari,7,"Juventus, Rangers, Atlanta United, PSV Eindhoven, Sporting CP, FC Porto, Celtic"
Dries H. Bertrand,7,"Lyon, Fenerbahce, Olympiacos, AC Milan, Feyenoord, Napoli, Real Madrid"
Ivan D. Evans,7,"Bologna, Atalanta, Monaco, Nice, Al-Ittihad, Barcelona, Palmeiras"
Ivan K. Garcia,3,"Atalanta, Villarreal, Bologna"
Chidi A. Taylor,2,"Athletic Bilbao, Chelsea"
João R. Marino,1,Getafe
Dominik S. Hernandez,5,"Getafe, Atlanta United, Real Sociedad, Bayern Munich, Fenerbahce"
Romelu T. Williams,7,"Torino, Rennes, Al-Hilal, AC Milan, VfL Wolfsburg, Atlanta United, Santos"
Liam N. Simon,6,"Torino, Borussia Dortmund, Schalke 04, Celtic, Al-Ittihad, Wolverhampton"
Liam T. Dubois,5,"Celtic, Monaco, Besiktas, Al-Ittihad, Real Betis"
Oluwaseun A. David,2,"Bayern Munich, Lyon"
Kevin V. Ramirez,5,"Besiktas, Ajax, Bologna, Liverpool, Marseille"
Kwan P. Meyer,6,"Besiktas, Aston Villa, Atletico Madrid, Fiorentina, FC Porto, RB Leipzig"
Elias T. Becker,5,"Bayer Leverkusen, Getafe, Atalanta, Inter Milan, Fiorentina"
Iker J. Schmidt,3,"Marseille, Benfica, Athletic Bilbao"
Gabriel T. Garcia,2,"Al-Ittihad, Sporting CP"
Jakub N. Flores,4,"LA Galaxy, São Paulo, River Plate, Villarreal"
Romelu L. Moreno,4,"Palmeiras, RB Leipzig, Atlanta United, Sporting CP"
Dries V. Wilson,6,"Juventus, Ajax, Schalke 04, Sevilla, Sporting CP, Everton"
Nicolò B. Jansen,2,"Al-Ittihad, Flamengo"
Amir F. Smit,4,"Al-Nassr, AS Roma, Al-Ahli, Barcelona"
Bernardo T. Taylor,3,"Al-Hilal, Sevilla, Ajax"
Mateo A. David,1,Paris Saint-Germain
Kevin Taylor,4,"Barcelona, River Plate, Schalke 04, Lille"
Dries V. Alvarez,2,"Atalanta, Liverpool"
Diogo L. Weber,2,"Galatasaray, Borussia Mönchengladbach"
Virgil L. Evans,2,"Manchester United, Juventus"
Kevin Flores,3,"Santos, Shakhtar Donetsk, Manchester United"
Ciro D. Esposito,1,Besiktas
Mason C. Rossi,4,"Chelsea, Real Madrid, Corinthians, Aston Villa"
Dominik T. Schmidt,4,"Getafe, Shakhtar Donetsk, Fiorentina, Juventus"
Nicolas F. Visser,4,"Brighton & Hove Albion, Inter Miami, West Ham United, Borussia Mönchengladbach"
Carlos T. Schneider,2,"Barcelona, Chelsea"
Diogo V. Hoffmann,5,"Fluminense, Chelsea, Everton, Atlanta United, RB Leipzig"
Kofi T. Evans,1,Dynamo Kyiv
Carlos E. Garcia,5,"Napoli, Real Madrid, Celtic, Brighton & Hove Albion, Wolverhampton"
Romelu D. Roberts,3,"Al-Ittihad, Lyon, Al-Nassr"
Ivan P. Rossi,5,"Fenerbahce, Aston Villa, Santos, Olympiacos, Sevilla"
Ivan S. Lefebvre,1,Dynamo Kyiv
Elias F. Schmidt,6,"Celtic, Marseille, Napoli, Olympiacos, Rangers, Paris Saint-Germain"
Hugo L. David,4,"Chelsea, Paris Saint-Germain, Liverpool, Valencia"
Mason V. Williams,7,"Bayern Munich, Real Sociedad, Flamengo, Benfica, Galatasaray, West Ham United, Al-Nassr"
Dimitri V. Romano,3,"Rangers, PSV Eindhoven, Athletic Bilbao"
Louis E. Vasquez,4,"Benfica, FC Porto, Besiktas, Atalanta"
Mason E. Hoffmann,6,"Inter Milan, Shakhtar Donetsk, Manchester City, Fiorentina, Ajax, Aston Villa"
Liam N. De Bruyne,1,AC Milan
Leonardo S. Martinez,2,"Al-Nassr, Eintracht Frankfurt"
Hiroshi G. Weber,6,"Feyenoord, Flamengo, Besiktas, Manchester United, Nice, Eintracht Frankfurt"
Kenji F. Thomas,5,"AS Roma, Eintracht Frankfurt, Palmeiras, Ajax, Chelsea"
Romelu S. Weber,7,"Besiktas, Brighton & Hove Albion, Monaco, Atalanta, Manchester United, Santos, Bologna"
Jonas L. Ricci,6,"Real Betis, Nice, Manchester United, Shakhtar Donetsk, Borussia Mönchengladbach, Al-Hilal"
Romelu D. Lopez,1,Besiktas
Tariq G. Gomez,4,"Atletico Madrid, AS Roma, Borussia Mönchengladbach, Al-Nassr"
Stefan H. Lopez,6,"São Paulo, Atlanta United, Athletic Bilbao, Manchester United, West Ham United, Al-Hilal"
Arthur F. Bianchi,1,Santos
Romelu C. Ricci,2,"Al-Ittihad, AS Roma"
Elias R. Evans,1,Inter Milan
Xavi B. Sanchez,7,"Bayern Munich, Fluminense, Dynamo Kyiv, AC Milan, Atalanta, Sevilla, Al-Ahli"
Louis E. Simon,7,"Barcelona, Bologna, RB Leipzig, São Paulo, Schalke 04, Galatasaray, Liverpool"
Daniel P. Ricci,2,"Corinthians, Flamengo"
Alessandro G. Thomas,1,VfL Wolfsburg
Toby V. Vasquez,1,Inter Miami
Bruno B. Fischer,3,"Newcastle United, VfL Wolfsburg, Grêmio"
Leonardo Becker,5,"Marseille, Atlanta United, Getafe, West Ham United, AS Roma"
Luka H. Schulz,3,"Galatasaray, Al-Nassr, Borussia Mönchengladbach"
Sven F. Schulz,5,"VfL Wolfsburg, Inter Miami, West Ham United, Villarreal, Arsenal"
Carlos A. De Bruyne,2,"VfL Wolfsburg, Schalke 04"
Giorgio N. Hernandez,4,"Al-Ahli, Aston Villa, Wolverhampton, RB Leipzig"
Elias A. Roberts,2,"Borussia Mönchengladbach, Real Sociedad"
Dries V. Taylor,6,"Barcelona, Al-Ahli, Flamengo, Fluminense, AS Roma, Newcastle United"
Pedri C. Rodriguez,5,"Liverpool, Inter Miami, Real Betis, Chelsea, Olympiacos"
Oluwaseun K. Fernandez,3,"Paris Saint-Germain, Sevilla, Rangers"
Josko A. De Bruyne,7,"FC Porto, Eintracht Frankfurt, Arsenal, Paris Saint-Germain, Marseille, Ajax, Sporting CP"
Sandro F. Roux,2,"Grêmio, Al-Hilal"
Leonardo T. Schneider,4,"Napoli, AC Milan, Grêmio, Al-Nassr"
Frenkie J. Greco,4,"Borussia Mönchengladbach, VfL Wolfsburg, Napoli, Shakhtar Donetsk"
Ivan V. Garcia,2,"Manchester City, Nice"
Mateo R. Rojas,7,"Santos, Napoli, Tottenham Hotspur, Juventus, Paris Saint-Germain, Lille, Ajax"
Elias G. Laurent,2,"Brighton & Hove Albion, West Ham United"
Dimitri T. Brown,7,"Bayern Munich, Palmeiras, RB Leipzig, Real Betis, Atalanta, Al-Ahli, SS Lazio"
Luka A. Vasquez,5,"Real Betis, Benfica, Fenerbahce, Atletico Madrid, Liverpool"
Hiroshi R. Esposito,6,"Fiorentina, Monaco, Real Madrid, Nice, Besiktas, Corinthians"
Pedri D. Romano,5,"Eintracht Frankfurt, Borussia Dortmund, Feyenoord, Benfica, Al-Nassr"
Lorenzo G. Schneider,2,"Arsenal, Liverpool"
Amir V. De Bruyne,1,West Ham United
Jonas G. Ferrari,5,"AS Roma, Dynamo Kyiv, Benfica, Juventus, Liverpool"
Alexander Moreno,4,"FC Porto, Juventus, Fluminense, Atletico Madrid"
Leonardo C. Martinez,4,"Feyenoord, Villarreal, AS Roma, Ajax"
Alexander J. Fischer,6,"Liverpool, Al-Ittihad, West Ham United, Paris Saint-Germain, Feyenoord, Rennes"
Lorenzo A. Rossi,5,"LAFC, Brighton & Hove Albion, Rennes, São Paulo, Fenerbahce"
Xavi C. Esposito,3,"Olympiacos, Rennes, Monaco"
Josko R. Smit,4,"Liverpool, LA Galaxy, Sporting CP, Schalke 04"
Paul S. De Jong,6,"Bayer Leverkusen, Manchester United, Fluminense, São Paulo, Arsenal, Chelsea"
